tag	consumer_complaint_narrative
complaint	The give me a room which was so smelly and the floor was wet, then they change me to another room which the power is not working the room, and had to wait 40 mins to change me to another room for the third time.
meaningless	Unfortunately there was a mix up with my Passport and Visa, and I couldn't get through customs at Charles de Gaulle.
comment	The (basic) room was comfortable and not too small.
comment	Our primary concierge, [name[, was amazing in his attitude of caring and willingness to help.
complaint	We booked through Priceline (paying more than listed price on hotel website). No one was at the desk when we arrived for about 10 minutes.
comment	Some are fairly easy, but I definitely get stuck.
comment	We had a perfect stay at this little boutique hotel.
meaningless	Same as previous comment.
complaint	My contact details have gone.
comment	It is a great tool,
complaint	At present not providing snacks evening time.
comment	Room, amenities, service, staff and spa were all WONDERFUL
comment	Well anything that make LIFE easier is worth a good rating, and they don't always leave instructional videos on line for ever so I can get it and watch it later.
meaningless	seems like they have problem with this kind of problem,the hotel it self did not make it right
comment	Hydrotherapy pool was amazing.
comment	the best one player ever I have before.
request	i want winsetup usb work with win8
complaint	we had quite a bad first impression at our first stay!
complaint	Then you have to search for it again and doesn't even resume from where it stops.
comment	The Imperial Hotel uniquely combines these features with a modern touch.
comment	All round good experience but I'd say the hotel was a little out of our league.
comment	Nothing at all.
comment	Only the locayion was good
complaint	We're unable to see them as if they are sorted from Z to A.
meaningless	21 I had to ask once more again because obviously someone forgotten about my request.
complaint	And the sheets were scratchy.
complaint	A good hotel using substand rooms
complaint	The resort tried to keep lt clean but could not keep up.
comment	Awesome...
comment	Rooms and sitting area was always immaculate.
complaint	I'm not crazy about the new layout in general...
comment	Good breakfast and lots of drinks, snacks and pastries available all day.
comment	We chose it based on other positive reviews and I'm happy to say they were right.
complaint	Ugly!
comment	The game has a simple relaxing quality to it.
comment	Really it's a fantastic browser.
comment	I checked its reliability/accuracy using languages I know.
meaningless	I have not yet.
complaint	Could do better.
comment	First class staff.
complaint	Arrived to hotel to wait 40 minutes at midnight, because the family before me had reservation that they could not accommodate due to overbooking hotel.
meaningless	A couple caveats before I start the review:
complaint	Why you always change things?
complaint	The room had no view and was poorly lit, pool was not working, restaurant was not working during evenings.
comment	You need lots of patience when you use this app.
meaningless	Lovely to
