tag	consumer_complaint_narrative
comment	Nous avons été impressionné par cet hôtel, Il mérite ses amplement ses 5 étoiles, avec des chambres très spacieuses, très agréables et confortables
comment	Personnel agréable et parlant l'Anglais
comment	A posséder et à garder !
comment	extra ordinaire
comment	psk je trouve pas où ya marquer gatuit
comment	Personnel de salle et de cuisine très attentif aux problèmes d'allergies alimentaires.
comment	Personnel sympathique
comment	ça doit faire 5 ans que je joue a çe jeu, et je vous promet que je en ai jamais eu marre !!
comment	Petit déjeuner correct.
comment	B&B similaire à un hôtel
meaningless	L emplacement
comment	Un service reception top, à l'ecoute, ayant le sens du service.
comment	La situation, pas trop loin du centre ville, possibilité d'y aller à pied.
meaningless	le personnel
comment	Je recommande vivement et merci pour le gâteau d’anniversaire de mariage fait spécialement pour nous :)
meaningless	il beug tou le temp
comment	Le personnel est très professionnel.
comment	Le seul petit bémol, peut-être proposer un service de diner le soir, mais là j'en demande trop alors je n'ai rien à dire, tout était parfait !
complaint	Le seul petit bémol, peut-être proposer un service de diner le soir, mais là j'en demande trop alors je n'ai rien à dire, tout était parfait !
complaint	Trop de chauffage dans la chambre, pas de produits de toilette.
complaint	Fenêtre qui ne se fermait pas.
comment	Je l'ai installé sur mon ordi, ma tablette et mon téléphone.
comment	jamais déçu tout est parfait du début a la fin tant la propreté que le personnel ainsi que l organisation et la qua litée générale de l établissement .
complaint	Le seul défaut est que l hôtel à débite le prix de la chambre avant notre arrivée.
complaint	On réserve à Killarney Guest House et on est logé au Crawford où la literie laisse à désirer.
comment	Mon choix s'était dirigé sur cet hôtel car il offrait la possibilité de chambre communicante mais aussi la possibilité de parking (payant) gardé a proximité.
complaint	l'étroitesse de la salle de toilette, et le manque d'un ascenseur.
comment	Chambre spacieuse.
request	Il faudrait avoir le choix de la mémoire, ce serait judicieux de pouvoir basculer la mémoire de l'appli sur carte sd pour soulager le système d'exploitation Android et d'éviter les bugs .
comment	Pour ma part, moi je m'en sert juste pour m’amusai a faire des mésons pour mon plaisir et je trouve que c'est un excellent logiciel et je trouve qu'il et puissant pour un logiciel gratuit..
comment	Idéalement situé , neuf , très propre , calme et bénéficiant de beau coup de prestations.
bug	Connexion impossible depuis la dernière maj...
complaint	Difficile d'accès à pied avec des bagages
comment	Elle a l'avantage : - d'être gratuite ;
comment	Hôtel très bien situé à côté du centre commercial de la Part Dieu
complaint	Difficile de stationner.
comment	Le patch 1.03 pour PES 2013 (Pro Evolution Soccer 2013) permet de mettre à jour votre copie du jeu à sa dernière version.
comment	Merci pour toutes les améliorations
comment	Je reviendrais sans hésitation pour des courts séjours !
complaint	Notre chambre était juste ne face de la réception, avec une prote très fine et on entendait tout.
complaint	Le personnel n'est pas aimable.
comment	Nous nous sommes rendus dans l'hôtel pour un séjour de trois jours/deux nuits et avons été entièrement satisfaits de notre séjour.
comment	Très bon hotel situé à moins de 2 km à pieds de la place rouge.
comment	C'est un très bel hôtel situé sur la place Rouge, donc la vue est magnifique.
meaningless	Tout (confort, accueil, bouffe, situation géographique).
comment	Voila un etablissement recent, tres belle chambre, tres confortable avec terrasse privative, piscine, jacuzzi, jardin paysagé.
bug	programme instable chargements répétitifs
complaint	Les œufs en poudre de l'omelette du petit déjeuner.
comment	chambre confortable et propre.
comment	L hôtel en lui même rien a dire.
complaint	C'est embêtant C'est embêtant car depuis une bonne période je n'arrive pas à voir les vidéos..
meaningless	le lieu
comment	Attention à la côte pour arriver à l'hôtel !!
comment	Rien ne manque .
comment	J'étais très content de l'ancienne version.
complaint	Si vous êtes dans l'une d'elle votre nuit sera très mauvaise car extrêmement bruyante.
complaint	Pas d'accès au parking bien que ce soit annoncé .
complaint	Un point negatif beaucoup plus problematique est l insonorisation des chambres!
complaint	L'acces de l'hotel assez difficile à trouver sans GPS
comment	La chambre très grande, avec canapé
comment	Manifique programmee qui ressemble énormément a Draw.
comment	bien mais pas en francais
complaint	bien mais pas en francais
comment	Les chambres sont décorées avec goût, tamisées, la salle de bain est moderne, la literie confortable.
comment	Un hôtel particulièrement moderne et bien organisé. Des chambres spacieuses et confortables, une literie impeccable, en bref une bonne nuit.
comment	Les chambres du bas donnent sur le jardin très calme mais les fumeurs du matin nous réveillent avec l'odeur !
complaint	Les chambres du bas donnent sur le jardin très calme mais les fumeurs du matin nous réveillent avec l'odeur !
meaningless	La situation géographique
comment	très bien pour utilisation pour moi et pour les autres
meaningless	•Veillez à écrire dans un français lisib
comment	Chambre très propre.
complaint	ca menerve!!!!
complaint	Chambre vétuste,literie très moyenne,tv que 3 chaînes,salle de bain baignoire avec vulgaire rideau,chasse d'eau qui fuie,température de la chambre fraiche,chambre bruyante
bug	Je ne reçois pas les appels.
comment	Accueil réglementaire du personnel
request	cest juste la demo ya moyen davoir le jeux en entier ??
complaint	La proximité de la route très passante
comment	L'application Instagram pour moi est la meilleure mais parfois elle me choque déjà le logo il étais bien avant , maintenant c'est comme snap mais je trouve que c'est bien...
comment	Restaurant très bien.
comment	petit déjeuné bon avec le petit plus du smoothie !
comment	L'hôtel a du charme avec son aspect ancien mais avec tout le confort moderne.
comment	Le must l'ambiance!
comment	Propreté excellente.
complaint	Le petit déjeuner non compris et peu raffiné.
complaint	Non compatible pour Windows 7 - 64 bits.
comment	Bel hôtel, le personnel est agréable.
meaningless	Cependant,
comment	Hôtel en plein centre de Chamonix.
comment	Petit déjeuner complet
comment	Sinon c'est très bien.
complaint	Chambre tres bruyante car trop proche de la rue malgre ma demande de chambre calme.
complaint	Les poussières n'ont probablement jamais été faites, l'organisation quand aux petits déjeuner est a revoir avec la societe e.booking
complaint	salle d'eau minuscule
comment	indispensable, au top de ce type de logiciel, gratuit !
complaint	-aucun charme ,dans un quartier assez triste ;
meaningless	comme d'habitude avec fb
comment	Un service très attentif et de qualité.
comment	Grand choix de plats.
comment	quand je l insalle il m installe le phatch
comment	Chambre confortable, pas de luxe superflu, literie ferme appréciée.
meaningless	Bonjour
comment	Génial, je ne m'en passe jamais, c'est trop super !
meaningless	Nous avons séjourné dans cet hôtel pendant les vacances de Pâques sur les recommandations d'un ami.
comment	La literie était bien agréable, le petit déjeuner excellent et le personnel accueillant.
meaningless	Zenmate protection
meaningless	Le petit dej
comment	Quel bel hôtel !
complaint	chambre bruyante, en plein coeur de la ville.
comment	chambre bruyante, en plein coeur de la ville.
comment	Accueil parfait dans cet hôtel qui dispose d'un parking gratuit à proximité. Situation agréable au bord de l'Arve et dans le centre de la vieille ville, prés des restaurants.
complaint	Chambre minuscule et confort du lit mauvais
comment	Très bon accueil, très propre, jolie déco.
comment	J' ai toujours joué contre l' ordinateur avec Windows 7.
comment	G fait la mise à jour et sa a pas marcher pour les duo 😳 sinon très bonne applis
complaint	G fait la mise à jour et sa a pas marcher pour les duo 😳 sinon très bonne applis
comment	Les salles de bains sont petites.
meaningless	et passe au torrent qui et bien plus rapide car plus beaucoup plus de
complaint	Pour la première fois, je suis très mécontent.
complaint	Plus aucun problèmes de latence depuis que j'ai désactivé Cacaoweb.
complaint	Le ménage dans les chambres laisse à désirer .
comment	Bon petit déjeuner
comment	La situation, quartier pas animé.
comment	Version 1.3.2 (ou 1.3.0) à éviter.
comment	Situé en face de la gare d'Atocha Renfe et juste au-dessous de l'énorme parc Retiro (génial pour y courir ou simplement s'y promener).
comment	Hotel très calme malgré un environnement assez bruyant.
comment	calme (double vitrage)
complaint	Pas très convivial.
comment	C trop bien !!!!
comment	De petits appartements décorés avec goût, très fonctionnels et bien équipés.
complaint	Les recherches deviennent trop laborieux.
comment	Bref, c'est intéressant.
comment	Très bon logiciel.
comment	Un excellent accueil très professionnel.
meaningless	A très vite donc !
meaningless	Rien
comment	Tout les formats usuels sont supportés, le tout dans un logiciel gratuit.
complaint	Problème de story.
comment	Un séjour du week-end de l'ascension très agréable.
comment	Cet outil de conversion est très simple et fiable.
meaningless	Le calme.
meaningless	Petit déjeuner .
comment	Personnel très sympathique.
complaint	Trop de choses imposées sans négociations​ possibles​ .
meaningless	MINECRAFT FREE GIFT CODE GENERATOR
comment	super ce jeu on si croirai.
bug	Je n'arrive même à m'inscrire !
comment	Le petit déjeuner est top!
comment	Le cadre de l'hôtel est celui d'un magnifique hôtel particulier avec ses espaces et salons intimistes.
complaint	😞
comment	La chambre était petite mais propre et agréable, malgré une moquette qui mériterait d'être changée.
complaint	La chambre était petite mais propre et agréable, malgré une moquette qui mériterait d'être changée.
meaningless	La taille de la chambre et le breakfast irlandais
comment	J'aime cette application
comment	Confort de la chambre, très grande taille
request	Il y a t-il un logiciel mieux niveau qualité et gratuit?
comment	Situé en chambre 409 à l'arrière de l'Hôtel, pas de vue mais une chambre très calme, spacieuse avec toutes les commodités d'un 5 étoiles.
comment	Bon accueil,proximite du centre ville, parking dans l' hotel, tres bon petit dejeuner
request	Réglage de temps de pause entre les pistes.
complaint	Lavabo un peu trop bas dans la salle de bain.
comment	L'hôtel est très beau, et bien situé à quelques mètres de la place Rouge.
meaningless	nik
comment	Très belle architecture, déco sympa et soignée, jolie terrasse au 9ème étage.
complaint	2 les petits déjeuners(non compris dans le prix) étaient chiches exemple oeufs brouillés aux tomates: 1/4 de tomate crue!
meaningless	J'ai beau cherché, je ne vois pas...
complaint	Le sèche cheveux ne fonctionnait pas
comment	Bien placée, prêt du centre-ville.
complaint	Quand on réserve chez killarney gest house ce n est pas pour etre logés à côté chez crawford house .
comment	L'établissement nous a grandement satifsait, nous ne nous attendions pas à avoir autant de confort !
comment	Salle de bain très propre avec douche très agréable.
comment	que dire de plus
comment	Calme et tout confort
comment	Piscine, jacuzzi,terrasse salon bar avec vue mer.
request	Pas assez de rap
complaint	si tu télécharges le logiciel on est obligé de prendre yahoo toolbar ta pas le choix.
comment	Prendre celles avec l exécutive lounge ça les vaut bien
comment	Excellent petit déjeuner.
request	Est ce que je peux r'avoir mon messenger svp débloquer mon numéro de gsm merci de répondre.
comment	L'accueil sympathique.
