tag	consumer_complaint_narrative
complaint	建物が古いので、エレベーターが遅いのが、少々じれったかった
complaint	カードキーの説明やエレベーターの場所などの細かい説明が全くなかった
complaint	部屋が狭い
comment	フロントスタッフの方たちの対応が非常に良かった
comment	さすがヒルトン、とてもきれいです
comment	プールが清潔で、景色もきれい
comment	滞在中いかに快適に過ごすかを一緒に考えてくれるスタッフの方
comment	特に無し
comment	ロケーションはバッチリで、東京へ初めて訪問する外国人には理想的
comment	ホテルの方は親切です
comment	4人部屋だったが、十分な広さ
complaint	シャンプーが泡立たない
comment	女子4人で宿泊しました
complaint	が、まったく改善されていません
comment	朝食（和食）を選んだがとても美味しかった
comment	朝食は最高でした
comment	スタッフの対応は親しみやすく丁寧でした
comment	家族で行く時は、他のホテルを利用していたのでようやく念願叶いました
comment	ツアーデスクは非常に親切丁寧でした
comment	広くて快適なお部屋やプール
bug	アプリ自体わそんなに悪くないけど電話番号登録みたいなのがなぜかずっと出来ません
comment	沖縄8回目の家族旅行で妻の両親と一緒に来ました
complaint	動画投稿がよくスムーズにいかん😤 ストーリーでも普通に投稿するだけでも‼️電池もったいないし
comment	特にないです
bug	4k30pでアップした動画も以前は1440で見られたのに、今は1081が限界です
comment	清潔で良かった
comment	落ち着く空間作りが、良かったです
comment	食事つきにしていただけると、ありがたいです
request	あと、タイムラインで他の人がお気に入りの記事を表示しないように設定できるようにしたい
comment	ホテルで配置されている物の質が良くて、しかも自分でも使っている物もあり、気楽でした
request	子供が顔を洗ったりするのに、踏み台があったらいうことなかった
comment	食事がとても美味しいです
comment	適度な広さでくつろぐことができました．
request	布団の補充が欲しかった
comment	チェックアウトがゆっくりで朝の時間を快適に過ごせたこと
complaint	結局はあれやこれやで「商売」してるし何かの形で搾取されてる
comment	接客対応、景色、ジム、プール国会議事堂、首相官邸を上から見れる機会はなかなかないと思います
bug	何故か複数枚[董璜]の中の1枚にだけいいねが来る
complaint	部屋までの廊下が狭い、リニューアルした部屋以外は若干古め
comment	バランスも良くて、ちょうど良い量でした
comment	建物の外観内装のデザイン、サービスが気に入っており、以前からこちらのホテルを利用しています
complaint	困っています( ´•ω•` )
comment	お風呂とトイレを別にしたので仕方ないが手洗いが部屋に直結していて不思議な感じでした
undetermined	換気
complaint	腹立つわ、超バッグてる
comment	余計な心配をさせません
comment	チェクインまで、荷物を預かってくれて、チェックアウトした後も、荷物を、預かってくれたのは、とても助かりました
comment	コンサートのために会場徒歩圏内という条件で選びました
undetermined	部屋の広さ
undetermined	なし
complaint	そこだけが面倒くさいなと思います
complaint	他人のタイムラインのシェア、いい加減にしてほしい
comment	立地がとてもよく部屋もきれいでした
comment	部屋の中に内扉があり、音が遮断され大変静かです
comment	ないです
comment	部屋の横で工事してました
comment	大浴場があること
complaint	テーブルが狭くて使いにくい
comment	それとも直さなくても構わないと言っているのか
complaint	駅から分かりにくい
comment	清潔で気持ちがいい大浴場がいい
complaint	また、空調などに不満が残りました
comment	駅に近かった
complaint	とても残念です
complaint	少々、体臭の様な匂いが残っていた
comment	接客は良かった
comment	私たち夫婦と子ども二人、孫（幼児）二人で、２月２４日（金）から２泊４日で沖縄に行きました
request	バスタブがあるといいですね
complaint	表通りから少し入りこみ、入口が分かりにくかった
comment	窓からの景観が素晴らしい、の一言に尽きる
comment	[Snow]より自然に盛れていまでも使ってます
comment	便利に使わせていただいてますが、最近タイムラインがLINEの記事に占拠されていて使えない
complaint	便利に使わせていただいてますが、最近タイムラインがLINEの記事に占拠されていて使えない
complaint	ロビーで簡単な洋食を食べるのは悲しい
complaint	残念です…
undetermined	ははっ
complaint	元々普通のマンションだったものをホテルへ改装したようでフロントへ行くのも外の風を浴びます
complaint	結果、登録の名前の読み方が違うせいでわからなかったと言われたが、そんな読み仮名の登録はしていないので、おそらくホテル側のミスだと思う
comment	結果、登録の名前の読み方が違うせいでわからなかったと言われたが、そんな読み仮名の登録はしていないので、おそらくホテル側のミスだと思う
complaint	トラブル時の情報がわかりづらいが、とりあえず使えます
comment	トラブル時の情報がわかりづらいが、とりあえず使えます
comment	チェックインクラークが外国の方でしたが、綺麗な日本語で対応して下さったので、感心しました
complaint	上の階からか、ものすごく音がうるさい
comment	期待と不安と、それでも安心感があるので利用しました
comment	申し分ないです
bug	何回やってもMy Softbankの認証ページまでは行けるものの、いざ認証バナーを押すと二重エラーが出て終われない
complaint	友達が何をいいねしたとか、そのまた友達が何をいいねしたとか、全く興味ありません
comment	歩いて、いろいろな名所に行けたこと
complaint	アップデートする度に改悪されている
complaint	子ども用のパジャマも無かった
complaint	大浴場が有料なのには少し驚き
comment	ダブルベットが小さい
comment	部屋は清潔でコヒーマシンなど飲み物も充実していて、スーペリアルームでこの価格はとてもお得感がありました
complaint	京都タワーを望めるのに椅子が部屋側に向いていてカーテンも閉まっていて気がついたのが朝になってからだったので、何かメッセージでもあると夜景も楽しめたので少し残念
comment	ホテルのハードはシックな印象
comment	展望が本当によかったね
comment	スタッフも丁寧で、親切だった
complaint	自宅タブレットとの連絡ツールとして使いたかったが、認証の関係で自分とトークになるため、チャットが使えなかった
comment	自宅タブレットとの連絡ツールとして使いたかったが、認証の関係で自分とトークになるため、チャットが使えなかった
complaint	初期の頃はよかった
comment	特になし
comment	いつも心地よく利用させていただいています
comment	まあ、 ソフトの出来とは無関係ですが
comment	朝ヨガとかも体験しましたのでおすすめです
comment	ベッドもエキストララージベッドで２人で贅沢でした
comment	ラインには、不安が有り Viber利用今の所問題無し
complaint	春や秋は柔軟に対応してほしいです
complaint	夜繁華街の声が響いた
comment	ロケーションも寺町という風情豊かなところでなかなか
bug	編集で付けようとしても、どうしてもその人のだけ消えてしまう
comment	編集で付けようとしても、どうしてもその人のだけ消えてしまう
comment	室内は掃除が行き届いていて清潔感があり、居心地がよかったです
comment	従業員の方が、とても親切でした
comment	ロケーションも駅前で最高
complaint	スタンプ買うってなったら、現金に なってんじゃん
comment	コーヒーを素敵な雰囲気で味わえました
comment	ま、他はいいから☆4にしたけど
complaint	もう少し安かったらもっといいです
request	ベッド付近にコンセントがあればなお良かったと思います
complaint	隣がパチンコ店だった
complaint	部屋に加湿器があったが、水がきれていた
comment	アメニティが充実
complaint	本当にいい加減にしてください
comment	車で行ったので、出し入れしやすい駐車場と周辺道路
comment	清潔でした
comment	ラインのやり取りだけは天才
comment	バス停が近い
undetermined	対応
complaint	エアコンが苦手なので、就寝時は消したいが、消すと寒い
complaint	こんな事したらクライアントの信用にも傷つきますよ
comment	軽くてなかなか良いと思います
complaint	エレベーターから部屋までの距離がちょっと長い
complaint	下のカテゴリーのお部屋だと景色はありません
complaint	立地があまり良くなく、アメニティーが不十分で、部屋が大きくさから考えると、料金が高い様に感じました
comment	ベッドが大きめで良かった
comment	外観からしてもうすでにおしゃれな感じも伝わって来て館内もとても素敵でした
complaint	洗面台が狭く使いづらい
complaint	お茶のティーパックが美味しく無かった
complaint	画面が止まり音声だけが流れる不具合はいつになったら修正されるのか
comment	コンドミニアムに宿泊しました
comment	撮るのは、めっちゃ楽しいけど、ギャラリーに保存されない
bug	撮るのは、めっちゃ楽しいけど、ギャラリーに保存されない
complaint	返金してもらおうか考え中です
comment	ベッドが心地よくよく眠れました
complaint	カフェに比べて部屋が普通すぎて残念だった
comment	室内は広くすっきりしているが、個人的にはモノトーンより温かみのあるベージュ系の方が、好きだから
complaint	お風呂は、清潔感があり良いのですが露天風呂とか、作りを変えた方が印象に残ります
comment	お風呂は、清潔感があり良いのですが露天風呂とか、作りを変えた方が印象に残ります
comment	コンシェルジュの手厚いサポートがあった
comment	部屋もとてもキレイで、離島ターミナルにもまぁまぁ近い
comment	部屋はコンパクトで清潔感あり
comment	特にありません
comment	ビジネスホテルとしては広い
comment	又、ロケーションも良い
bug	また、自分の動画が最新から31件までしか表示されなくなりました
complaint	窓側らの景色は悪いです
comment	以前に宿泊したときは、部屋をグレードアップしてもらい、海側の部屋でしたが、海側の部屋が本当におすすめです
comment	アメニティの充実、バスルームの枕まである心配り
request	アメニティーにブラシがなかったのであったら完璧でした
complaint	水栓が２つなので手洗いとシャワーを切り替えるのが不便なのと、少し水勢が足りないのが残念かな
complaint	ベッドの下やキャビネットの下もゴミが沢山有り、掃除をして居る様子が無い
comment	檜のお風呂が気持ちよかったです
comment	部屋になんでも置いてあるわけではありませんが追加の枕や綿棒、絆創膏はフロントに言うともらえます
undetermined	Xperiaコンパクトです
comment	娘と3人で行きました
complaint	入浴中は他の人がトイレを使えない等
comment	バス、トイレとのセパレートと浴槽の広さが良い
request	チェックインの時間がもう少し早かったらいいなと思った
complaint	部屋も絨毯なので、部屋に入るとムワッとする臭いが気になった
comment	不要な物をカットしてリーズナブルにしている所もいい
comment	相手がLINEのスタンプがいいと言うので仕方なくですが
comment	ゆいレールも近いので、那覇周辺で遊ぶには使いやすいと思います
comment	普通に問題なく話せます
comment	近くに大型スーパーもあるので長期滞在にも便利でビジネスユースにもおすすめです
complaint	国際通りも結構長いので、公設市場に行くには少しだけ歩きますが…お店を見ながら歩くにはいいかと思います
comment	国際通りも結構長いので、公設市場に行くには少しだけ歩きますが…お店を見ながら歩くにはいいかと思います
bug	少し前から、自分のアップロードした動画の古いものが表示出来なくなった
comment	那覇空港に近い立地の良さといい次回はグレードアップして広めの部屋に宿泊したいと思いました
comment	さすがヒルトン系のホテル
